"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 16:26:44 UTC 2025","Thu Oct 23 16:26:46 UTC 2025","2148","tests","test_home_page_actions","","","","test_zoom_in_js[edge]",""
"passed","Thu Oct 23 16:26:19 UTC 2025","Thu Oct 23 16:26:21 UTC 2025","2380","tests","test_home_page_actions","","","","test_page_down[edge]",""
"passed","Thu Oct 23 16:26:53 UTC 2025","Thu Oct 23 16:26:55 UTC 2025","2076","tests","test_home_page_actions","","","","test_mouse_scroll[chrome]",""
"passed","Thu Oct 23 16:26:47 UTC 2025","Thu Oct 23 16:26:49 UTC 2025","2096","tests","test_home_page_actions","","","","test_zoom_out_js[chrome]",""
"passed","Thu Oct 23 16:26:41 UTC 2025","Thu Oct 23 16:26:43 UTC 2025","2067","tests","test_home_page_actions","","","","test_zoom_in_js[chrome]",""
"passed","Thu Oct 23 16:26:22 UTC 2025","Thu Oct 23 16:26:24 UTC 2025","2041","tests","test_home_page_actions","","","","test_scroll_by_pixel[chrome]",""
"passed","Thu Oct 23 16:26:50 UTC 2025","Thu Oct 23 16:26:52 UTC 2025","2057","tests","test_home_page_actions","","","","test_zoom_out_js[edge]",""
"broken","Thu Oct 23 16:20:23 UTC 2025","Thu Oct 23 16:20:23 UTC 2025","0","tests","test_home_page_actions","","","","test_page_up[edge]",""
"passed","Thu Oct 23 16:20:18 UTC 2025","Thu Oct 23 16:20:23 UTC 2025","4312","tests","test_home_page_actions","","","","test_page_up[chrome]",""
"passed","Thu Oct 23 16:26:11 UTC 2025","Thu Oct 23 16:26:13 UTC 2025","2160","tests","test_home_page_actions","","","","test_page_down[chrome]",""
"passed","Thu Oct 23 16:26:25 UTC 2025","Thu Oct 23 16:26:27 UTC 2025","2057","tests","test_home_page_actions","","","","test_scroll_by_pixel[edge]",""
"passed","Thu Oct 23 16:26:34 UTC 2025","Thu Oct 23 16:26:36 UTC 2025","2021","tests","test_home_page_actions","","","","test_scroll_to_bottom[chrome]",""
"passed","Thu Oct 23 16:26:28 UTC 2025","Thu Oct 23 16:26:30 UTC 2025","2027","tests","test_home_page_actions","","","","test_scroll_to_top[chrome]",""
"passed","Thu Oct 23 16:26:31 UTC 2025","Thu Oct 23 16:26:33 UTC 2025","2005","tests","test_home_page_actions","","","","test_scroll_to_top[edge]",""
"passed","Thu Oct 23 16:26:37 UTC 2025","Thu Oct 23 16:26:39 UTC 2025","2053","tests","test_home_page_actions","","","","test_scroll_to_bottom[edge]",""
"passed","Thu Oct 23 16:26:56 UTC 2025","Thu Oct 23 16:26:58 UTC 2025","2074","tests","test_home_page_actions","","","","test_mouse_scroll[edge]",""
